uid,cid,ref_diff,ref_len
2021214183,7,1373760,228
2021214183,7,1374420,259
2021214183,8,1823160,249
2021214183,8,1823820,236
2021214183,9,1219740,249
2021214183,10,679080,296
2021214183,11,75180,233
2021214184,1,246240,125
2021214184,2,246300,100
2021214184,3,252240,159
2021214184,4,257160,128
2021214184,5,336660,158
2021214184,6,255000,298
2021214184,7,1462740,148
2021214184,8,873000,174
2021214184,9,873060,139
2021214184,10,269220,146
2021214184,11,161400,210
2021214184,12,274020,159
2021214184,13,271320,298
2021214186,1,257940,156
2021214186,3,274620,161
2021214186,2,879540,126
2021214186,5,4403340,321
2021214186,6,3799380,242
2021214186,7,3195960,785
2021214186,10,777540,189
2021214186,11,173340,245
2021214186,12,430500,101
2021214187,1,278820,122
2021214187,2,281640,220
2021214187,3,453780,206
2021214187,4,592140,124
2021214187,5,516300,120
2021214187,6,2236620,184
2021214187,7,1632360,144
2021214187,7,1633080,164
2021214187,8,423600,145
2021214187,10,425460,131
2021214188,1,156660,245
2021214188,2,85080,221
2021214188,3,427500,499
2021214188,4,438780,274
2021214188,5,354240,415
2021214188,6,255600,480
2021214188,7,1318140,383
2021214188,7,1318200,343
2021214188,8,405300,498
2021214188,9,1189620,251
2021214188,10,589140,432
2021214188,11,587880,336
2021214188,12,1205280,380
2021214188,13,604260,340
2021214189,1,362220,129
2021214189,2,577980,153
2021214189,3,580260,170
2021214189,4,528780,84
2021214189,5,850500,73
2021214189,6,2502300,140
2021214189,7,3876840,157
2021214189,8,3791340,274
2021214189,9,3187380,239
2021214189,10,2583060,218
2021214189,11,2146380,243
2021214189,12,1542480,314
2021214189,13,939720,201
2021214190,1,145680,190
2021214190,2,1174920,108
2021214190,3,572580,142
2021214190,4,244500,102
2021214190,4,1054260,55
2021214190,5,2577480,87
2021214190,7,1368060,110
2021214190,7,1368180,106
2021214190,8,158700,64
2021214190,9,244200,119
2021214190,11,2044740,65
2021214190,12,1440120,74
2021214190,13,835380,50
2021214191,2,167340,141
2021214191,3,228780,161
2021214191,4,232200,133
2021214191,6,154620,233
2021214191,7,1355940,299
2021214191,8,1192800,298
2021214191,9,1281900,376
2021214191,10,683100,329
2021214191,11,80760,240
2021214191,12,362100,499
2021214191,13,181200,1567
2021214192,2,7080,183
2021214192,3,224100,127
2021214192,4,92580,87
2021214192,5,76680,79
2021214192,6,70020,320
2021214192,7,77880,217
2021214192,8,146580,388
2021214192,9,7320,280
2021214192,10,55200,124
2021214192,11,139860,141
2021214192,12,225000,94
2021214192,13,840,72
2021214193,2,181740,371
2021214193,3,153840,270
2021214193,4,340140,180
2021214193,5,749280,162
2021214193,6,148560,288
2021214193,7,148020,216
2021214193,7,2182800,269
2021214193,8,973680,283
2021214193,9,369120,349
2021214193,10,226200,389
2021214193,11,539100,308
2021214193,13,99660,280
2021214194,2,82560,372
2021214194,1,1226160,374
2021214194,3,19320,458
2021214194,4,100200,487
2021214194,6,692460,538
2021214194,7,1307580,275
2021214194,5,2561460,343
2021214194,8,358620,354
2021214194,10,92940,422
2021214194,9,701040,347
2021214194,7,2515500,297
2021214194,11,146400,276
2021214194,12,167520,339
2021214194,13,175860,194
2021214195,1,262260,104
2021214195,2,528480,93
2021214195,3,616860,74
2021214195,4,12840,88
2021214195,5,773700,83
2021214195,6,169080,104
2021214195,7,145500,124
2021214392,1,409560,73
2021214392,2,587160,91
2021214392,3,1039500,258
2021214392,4,1194600,109
2021214392,5,860520,88
2021214392,8,484260,261
2021214392,12,318960,135
2021214392,10,1528740,368
