,,event,position,timestamp,status,rate
159,2,3,304,15,1,1
160,0,0,0,1,1,1
160,1,1,11,11,0,1
160,2,0,11,15,1,1
160,3,1,65,68,0,1
160,4,0,65,80,1,1
160,5,1,96,112,0,1
160,6,0,96,118,1,1
160,7,1,201,221,0,1
160,8,0,201,239,1,1
161,0,0,0,1,1,1
161,1,1,19,19,0,1
161,2,0,19,255,1,1
161,3,2,111,353,1,1
161,4,1,111,353,0,1
161,5,0,111,358,1,1
161,6,2,255,503,1,1
161,7,1,256,504,0,1
161,8,0,256,550,1,1
162,0,0,0,1,1,1
162,1,1,10,10,0,1
162,2,0,10,18,1,1
162,3,1,74,81,0,1
162,4,0,74,297,1,1
162,5,1,294,512,0,1
162,6,0,294,531,1,1
163,0,0,97,103,1,1
163,1,1,341,342,0,1
163,2,0,341,348,1,1
164,0,0,0,1,1,1.0
164,1,4,23,26,1,1.5
164,2,0,23,31,1,1.5
164,3,6,25,34,1,1.0
164,4,0,25,38,1,1.0
164,5,1,48,61,0,1.0
164,6,0,48,63,1,1.0
164,7,4,67,78,1,1.5
164,8,6,175,154,1,1.0
165,0,0,0,1,1,1
166,0,0,0,6,1,1
167,0,0,0,0,1,1.0
167,1,4,0,1,1,1.25
167,2,4,11,10,1,1.5
168,0,0,0,5,1,1.0
168,1,2,0,7,1,1.0
168,2,4,69,77,1,2.0
169,0,0,0,1,1,1
169,1,3,536,37,1,1
170,0,0,0,2,1,1.0
170,1,1,42,44,0,1.0
170,2,0,42,279,1,1.0
170,3,4,96,334,1,1.25
170,4,4,189,408,1,1.5
171,0,0,0,3,1,1.0
171,1,4,2,6,1,1.5
171,2,4,16,16,1,1.25
171,3,0,134,114,1,1.25
171,4,4,215,180,1,1.5
172,0,0,0,5,1,1
173,0,0,0,3,1,1.0
173,1,4,39,43,1,1.25
173,2,4,48,51,1,1.5
174,0,0,0,1,1,1.0
174,1,4,8,10,1,1.5
175,0,0,0,1,1,1
176,0,0,0,8,1,1
176,1,2,0,11,1,1
176,2,1,1228,1238,0,1
176,3,0,1228,1301,1,1
176,4,1,1261,1334,0,1
176,5,0,1261,1354,1,1
177,0,0,0,1,1,1
178,0,0,0,14,1,1
178,1,2,0,19,1,1
178,2,3,666,23,1,1
178,3,1,666,24,0,1
179,0,0,0,5,1,1
179,1,2,0,7,1,1
179,2,1,0,7,0,1
180,0,0,0,1,1,1
181,0,0,0,1,1,1
181,1,2,224,231,1,1
181,2,1,225,232,0,1
181,3,0,225,250,1,1
182,0,0,0,1,1,1
